term,comparison,estimate,conf.low,conf.high,adj.p.value
Country,Czech Republic-Canada,-550393.963495773,-570642.3978373979,-530145.5291541482,9.237055564881302e-14
Country,Denmark-Canada,-629127.1296336531,-649375.5639752779,-608878.6952920282,9.237055564881302e-14
Country,Finland-Canada,-628770.3967239214,-649018.8310655463,-608521.9623822966,9.237055564881302e-14
Country,Japan-Canada,655159.8232992253,634911.3889576005,675408.2576408501,9.237055564881302e-14
Country,Latvia-Canada,-687336.7884805772,-707585.222822202,-667088.3541389523,9.237055564881302e-14
Country,Netherlands-Canada,-483674.1514876928,-503922.58582931757,-463425.717146068,9.237055564881302e-14
Country,Portugal-Canada,-627403.8557080006,-647652.2900496254,-607155.4213663758,9.237055564881302e-14
Country,Switzerland-Canada,-647543.2548681931,-667791.6892098179,-627294.8205265682,9.237055564881302e-14
Country,Denmark-Czech Republic,-78733.16613788006,-98981.60047950485,-58484.73179625528,9.481304630298837e-14
Country,Finland-Czech Republic,-78376.43322814835,-98624.86756977314,-58127.998886523565,9.636735853746359e-14
Country,Japan-Czech Republic,1205553.7867949982,1185305.3524533734,1225802.221136623,9.237055564881302e-14
Country,Latvia-Czech Republic,-136942.82498480417,-157191.25932642896,-116694.39064317939,9.237055564881302e-14
Country,Netherlands-Czech Republic,66719.81200808022,46471.37766645543,86968.246349705,1.6964207816272392e-13
Country,Portugal-Czech Republic,-77009.89221222757,-97258.32655385236,-56761.45787060278,9.85878045867139e-14
Country,Switzerland-Czech Republic,-97149.29137242012,-117397.72571404491,-76900.85703079533,9.237055564881302e-14
Country,Finland-Denmark,356.7329097317124,-19891.701431893078,20605.167251356503,0.9999999999972959
Country,Japan-Denmark,1284286.9529328784,1264038.5185912536,1304535.3872745032,9.237055564881302e-14
Country,Latvia-Denmark,-58209.65884692411,-78458.0931885489,-37961.224505299324,1.7985612998927536e-13
Country,Netherlands-Denmark,145452.97814596028,125204.5438043355,165701.41248758507,9.237055564881302e-14
Country,Portugal-Denmark,1723.2739256524947,-18525.160415972296,21971.708267277285,0.9999992200997766
Country,Switzerland-Denmark,-18416.125234540057,-38664.559576164844,1832.3091070847331,0.107323586801225
Country,Japan-Finland,1283930.2200231466,1263681.7856815218,1304178.6543647714,9.237055564881302e-14
Country,Latvia-Finland,-58566.39175665582,-78814.82609828061,-38317.957415031036,1.7830181775480014e-13
Country,Netherlands-Finland,145096.24523622857,124847.81089460378,165344.67957785336,9.237055564881302e-14
Country,Portugal-Finland,1366.5410159207822,-18881.893325704008,21614.975357545572,0.9999998753163777
Country,Switzerland-Finland,-18772.85814427177,-39021.292485896556,1475.5761973530207,0.09323298510861056
Country,Latvia-Japan,-1342496.6117798025,-1362745.0461214273,-1322248.1774381776,9.237055564881302e-14
Country,Netherlands-Japan,-1138833.9747869181,-1159082.409128543,-1118585.5404452933,9.237055564881302e-14
Country,Portugal-Japan,-1282563.679007226,-1302812.1133488507,-1262315.244665601,9.237055564881302e-14
Country,Switzerland-Japan,-1302703.0781674185,-1322951.5125090433,-1282454.6438257936,9.237055564881302e-14
Country,Netherlands-Latvia,203662.6369928844,183414.2026512596,223911.07133450918,9.237055564881302e-14
Country,Portugal-Latvia,59932.932772576605,39684.49843095182,80181.36711420139,1.794120407794253e-13
Country,Switzerland-Latvia,39793.53361238405,19545.099270759263,60041.96795400884,1.2144924887991237e-7
Country,Portugal-Netherlands,-143729.7042203078,-163978.13856193257,-123481.269878683,9.237055564881302e-14
Country,Switzerland-Netherlands,-163869.10338050034,-184117.53772212513,-143620.66903887555,9.237055564881302e-14
Country,Switzerland-Portugal,-20139.39916019255,-40387.83350181734,109.03518143223846,0.05247083669362651
